iter	Passed	Remaining
1185	25744	17669
1186	25765	17647
1187	25785	17624
1188	25807	17602
1189	25829	17581
1190	25849	17558
1191	25870	17536
1192	25892	17515
1193	25912	17491
1194	25934	17470
1195	25957	17449
1196	25977	17426
1197	25999	17405
1198	26019	17382
1199	26041	17361
1200	26061	17337
1201	26082	17315
1202	26101	17292
1203	26123	17270
1204	26143	17248
1205	26165	17226
1206	26185	17203
1207	26205	17181
1208	26225	17158
1209	26245	17135
1210	26265	17112
1211	26289	17092
1212	26308	17069
1213	26328	17046
1214	26351	17025
1215	26371	17002
1216	26392	16980
1217	26414	16959
1218	26435	16937
1219	26456	16915
1220	26476	16891
1221	26498	16870
1222	26520	16848
1223	26542	16827
1224	26563	16805
1225	26582	16782
1226	26602	16759
1227	26622	16736
1228	26644	16714
1229	26664	16692
1230	26688	16672
1231	26708	16649
1232	26728	16626
1233	26749	16604
1234	26769	16582
1235	26791	16560
1236	26813	16538
1237	26835	16517
1238	26858	16496
1239	26879	16474
1240	26900	16452
1241	26922	16430
1242	26943	16409
1243	26964	16386
1244	26983	16363
1245	27004	16341
1246	27025	16319
1247	27043	16295
1248	27063	16272
1249	27083	16250
1250	27104	16228
1251	27125	16205
1252	27146	16183
1253	27166	16161
1254	27187	16139
1255	27207	16116
1256	27226	16093
1257	27247	16071
1258	27266	16047
1259	27286	16025
1260	27308	16003
1261	27328	15981
1262	27352	15960
1263	27373	15938
1264	27395	15917
1265	27416	15895
1266	27437	15873
1267	27459	15851
1268	27480	15830
1269	27501	15808
1270	27522	15785
1271	27543	15763
1272	27563	15741
1273	27586	15720
1274	27607	15698
1275	27628	15676
1276	27650	15655
1277	27672	15633
1278	27692	15610
1279	27712	15588
1280	27733	15566
1281	27753	15543
1282	27775	15521
1283	27795	15499
1284	27815	15477
1285	27837	15455
1286	27857	15433
1287	27878	15410
1288	27899	15388
1289	27919	15366
1290	27940	15344
1291	27960	15321
1292	27982	15300
1293	28004	15278
1294	28026	15257
1295	28049	15236
1296	28067	15213
1297	28088	15191
1298	28108	15168
1299	28129	15146
1300	28150	15124
1301	28173	15103
1302	28194	15081
1303	28216	15060
1304	28238	15038
1305	28260	15017
1306	28282	14995
1307	28301	14973
1308	28323	14951
1309	28344	14929
1310	28365	14907
1311	28385	14885
1312	28406	14863
1313	28427	14840
1314	28449	14819
1315	28469	14797
1316	28489	14774
1317	28511	14753
1318	28532	14731
1319	28554	14709
1320	28572	14686
1321	28593	14664
1322	28613	14642
1323	28636	14621
1324	28658	14599
1325	28679	14577
1326	28699	14555
1327	28719	14532
1328	28741	14511
1329	28761	14488
1330	28782	14467
1331	28803	14444
1332	28823	14422
1333	28845	14401
1334	28867	14379
1335	28887	14357
1336	28906	14334
1337	28927	14312
1338	28948	14290
1339	28969	14268
1340	28988	14245
1341	29007	14222
1342	29029	14201
1343	29051	14179
1344	29072	14157
1345	29091	14134
1346	29110	14112
1347	29128	14089
1348	29152	14068
1349	29174	14046
1350	29195	14024
1351	29216	14002
1352	29235	13980
1353	29256	13958
1354	29277	13936
1355	29297	13914
1356	29318	13892
1357	29339	13870
1358	29361	13848
1359	29381	13826
1360	29401	13804
1361	29422	13782
1362	29444	13760
1363	29464	13738
1364	29483	13715
1365	29506	13694
1366	29526	13672
1367	29550	13651
1368	29570	13629
1369	29590	13607
1370	29610	13584
1371	29631	13563
1372	29655	13542
1373	29677	13521
1374	29696	13498
1375	29716	13476
1376	29738	13454
1377	29759	13432
1378	29780	13410
1379	29799	13388
1380	29819	13365
1381	29839	13343
1382	29860	13321
1383	29881	13299
1384	29902	13278
1385	29921	13255
1386	29943	13233
1387	29964	13211
1388	29983	13189
1389	30004	13167
1390	30026	13145
1391	30046	13123
1392	30067	13102
1393	30085	13078
1394	30107	13057
1395	30130	13036
1396	30152	13015
1397	30174	12993
1398	30195	12971
1399	30215	12949
1400	30235	12927
1401	30257	12906
1402	30278	12883
1403	30298	12861
1404	30320	12840
1405	30341	12818
1406	30362	12796
1407	30381	12774
1408	30404	12753
1409	30424	12730
1410	30444	12708
1411	30465	12686
1412	30487	12665
1413	30507	12643
1414	30528	12621
1415	30550	12599
1416	30571	12578
1417	30592	12556
1418	30616	12535
1419	30635	12513
1420	30657	12491
1421	30677	12469
1422	30697	12447
1423	30717	12424
1424	30739	12403
1425	30759	12381
1426	30779	12359
1427	30800	12337
1428	30822	12316
1429	30844	12294
1430	30866	12273
1431	30885	12250
1432	30903	12227
1433	30925	12206
1434	30947	12185
1435	30971	12164
1436	30991	12142
1437	31011	12120
1438	31033	12098
1439	31056	12077
1440	31077	12055
1441	31098	12033
1442	31119	12012
1443	31142	11991
1444	31164	11969
1445	31185	11948
1446	31207	11926
1447	31229	11905
1448	31249	11883
1449	31269	11860
1450	31289	11838
1451	31309	11816
1452	31331	11795
1453	31354	11774
1454	31375	11752
1455	31395	11730
1456	31417	11708
1457	31440	11687
1458	31461	11665
1459	31493	11648
1460	31524	11630
1461	31546	11608
1462	31567	11586
1463	31588	11565
1464	31610	11543
1465	31630	11521
1466	31653	11500
1467	31676	11479
1468	31699	11458
1469	31721	11436
1470	31740	11414
1471	31760	11392
1472	31780	11370
1473	31800	11347
1474	31820	11325
1475	31841	11304
1476	31863	11282
1477	31884	11261
1478	31922	11245
1479	31950	11225
1480	31971	11204
1481	31993	11182
1482	32013	11160
1483	32033	11138
1484	32055	11116
1485	32075	11094
1486	32095	11072
1487	32118	11051
1488	32141	11030
1489	32163	11008
1490	32185	10987
1491	32221	10970
1492	32323	10976
1493	32395	10971
1494	32417	10950
1495	32442	10929
1496	32464	10908
1497	32485	10886
1498	32506	10864
1499	32527	10842
1500	32548	10820
1501	32570	10799
1502	32592	10777
1503	32612	10755
1504	32631	10732
1505	32654	10711
1506	32677	10689
1507	32696	10667
1508	32716	10645
1509	32737	10623
1510	32757	10601
1511	32779	10579
1512	32799	10557
1513	32821	10535
1514	32841	10513
1515	32861	10491
1516	32881	10469
1517	32900	10446
1518	32922	10425
1519	32944	10403
1520	32964	10381
1521	32985	10359
1522	33005	10337
1523	33026	10315
1524	33048	10293
1525	33070	10272
1526	33092	10250
1527	33113	10228
1528	33133	10206
1529	33155	10184
1530	33175	10162
1531	33196	10141
1532	33219	10119
1533	33241	10098
1534	33262	10076
1535	33283	10054
1536	33303	10032
1537	33324	10010
1538	33346	9988
1539	33367	9966
1540	33388	9944
1541	33409	9923
1542	33429	9901
1543	33450	9879
1544	33471	9857
1545	33492	9835
1546	33513	9813
1547	33534	9791
1548	33556	9770
1549	33577	9748
1550	33598	9726
1551	33618	9704
1552	33641	9683
1553	33663	9661
1554	33683	9639
1555	33704	9617
1556	33726	9596
1557	33748	9574
1558	33769	9552
1559	33789	9530
1560	33811	9508
1561	33833	9487
1562	33854	9465
1563	33873	9442
1564	33893	9420
1565	33915	9399
1566	33934	9376
1567	33955	9355
1568	33976	9333
1569	33998	9311
1570	34017	9289
1571	34048	9270
1572	34068	9248
1573	34090	9226
1574	34110	9204
1575	34130	9182
1576	34154	9161
1577	34174	9139
1578	34195	9117
1579	34219	9096
1580	34239	9074
1581	34260	9052
1582	34280	9030
1583	34301	9008
1584	34322	8986
1585	34344	8965
1586	34366	8943
1587	34385	8921
1588	34407	8899
1589	34426	8877
1590	34447	8855
1591	34468	8833
1592	34489	8811
1593	34510	8789
1594	34531	8768
1595	34553	8746
1596	34573	8724
1597	34594	8702
1598	34616	8681
1599	34637	8659
1600	34660	8638
1601	34680	8616
1602	34702	8594
1603	34723	8572
1604	34745	8551
1605	34765	8529
1606	34785	8506
1607	34803	8484
1608	34825	8462
1609	34849	8441
1610	34869	8419
1611	34889	8397
1612	34910	8375
1613	34931	8354
1614	34952	8332
1615	34971	8310
1616	34991	8288
1617	35013	8266
1618	35034	8244
1619	35056	8223
1620	35074	8200
1621	35092	8178
1622	35114	8156
1623	35134	8134
1624	35156	8112
1625	35176	8090
1626	35197	8069
1627	35218	8047
1628	35242	8026
1629	35270	8006
1630	35297	7985
1631	35321	7964
1632	35345	7943
1633	35366	7921
1634	35386	7899
1635	35406	7877
1636	35427	7855
1637	35448	7834
1638	35469	7812
1639	35490	7790
1640	35515	7769
1641	35534	7747
1642	35557	7726
1643	35578	7704
1644	35600	7682
1645	35622	7661
1646	35643	7639
1647	35664	7617
1648	35686	7596
1649	35706	7574
1650	35727	7552
1651	35748	7530
1652	35768	7508
1653	35788	7486
1654	35808	7464
1655	35829	7442
1656	35852	7421
1657	35873	7399
1658	35892	7377
1659	35913	7355
1660	35934	7334
1661	35955	7312
1662	35977	7290
1663	35999	7269
1664	36019	7247
